id,line,type,equipmentlength,scac
1981,LAUFER/MSC,HC 45FT,45FT,MSCU
2277,LAUFER/MSC,RF 40FT,40FT,MSCU
1982,LAUFER/MSC,ST 20FT,20FT,MSCU
1983,LAUFER/MSC,ST 40FT,40FT,MSCU
2322,LAUFER/ONE,HC 40FT,40FT,ONEY
2323,LAUFER/ONE,HC 45FT,45FT,ONEY
2324,LAUFER/ONE,RF 40FT,40FT,ONEY
2325,LAUFER/ONE,ST 20FT,20FT,ONEY
2326,LAUFER/ONE,ST 40FT,40FT,ONEY
2171,LAUFER/OOCL,HC 40FT,40FT,OOLL
2172,LAUFER/OOCL,HC 45FT,45FT,OOLL
2278,LAUFER/OOCL,RF 40FT,40FT,OOLL
2173,LAUFER/OOCL,ST 20FT,20FT,OOLL
2174,LAUFER/OOCL,ST 40FT,40FT,OOLL
2175,LAUFER/PIL,HC 40FT,40FT,PABV
2176,LAUFER/PIL,HC 45FT,45FT,PABV
2279,LAUFER/PIL,RF 40FT,40FT,PABV
2177,LAUFER/PIL,ST 20FT,20FT,PABV
2178,LAUFER/PIL,ST 40FT,40FT,PABV
1706,LAUFER/SM LINE,ALL,ALL,SMLM
1984,LAUFER/SM LINE,HC 40FT,40FT,SMLM
1985,LAUFER/SM LINE,HC 45FT,45FT,SMLM
2280,LAUFER/SM LINE,RF 40FT,40FT,SMLM
1986,LAUFER/SM LINE,ST 20FT,20FT,SMLM
1987,LAUFER/SM LINE,ST 40FT,40FT,SMLM
2427,LAUFER/YANGMING,HC 40FT,40FT,YMLU
2428,LAUFER/YANGMING,HC 45FT,45FT,YMLU
2429,LAUFER/YANGMING,RF 40FT,40FT,YMLU
2430,LAUFER/YANGMING,ST 20FT,20FT,YMLU
2431,LAUFER/YANGMING,ST 40FT,40FT,YMLU
2321,LEISURE/KN/HAPAG,HC 40FT,HC 40FT,HLCU
2316,LEISURETIME/KN/CMA,HC 40FT,40FT,CMDU
2317,LEISURETIME/KN/CMA,HC 45FT,45FT,CMDU
2318,LEISURETIME/KN/CMA,RF 40FT,40FT,CMDU
2319,LEISURETIME/KN/CMA,ST 20FT,20FT,CMDU
2320,LEISURETIME/KN/CMA,ST 40FT,40FT,CMDU
2346,LEISURETIME/KN/COSCO,HC 40FT,40FT,COSU
2347,LEISURETIME/KN/COSCO,HC 45FT,45FT,COSU
2348,LEISURETIME/KN/COSCO,RF 40FT,40FT,COSU
2349,LEISURETIME/KN/COSCO,ST 20FT,20FT,COSU
2350,LEISURETIME/KN/COSCO,ST 40FT,40FT,COSU
2351,LEISURETIME/KN/HAPAG,HC 40FT,40FT,HLCU
2352,LEISURETIME/KN/HAPAG,HC 45FT,45FT,HLCU
2353,LEISURETIME/KN/HAPAG,RF 40FT,40FT,HLCU
2354,LEISURETIME/KN/HAPAG,ST 20FT,20FT,HLCU
2355,LEISURETIME/KN/HAPAG,ST 40FT,40FT,HLCU
2341,LEISURETIME/KN/MSC,HC 40FT,40FT,MSCU
2342,LEISURETIME/KN/MSC,HC 45FT,45FT,MSCU
2343,LEISURETIME/KN/MSC,RF 40FT,40FT,MSCU
2344,LEISURETIME/KN/MSC,ST 20FT,20FT,MSCU
2345,LEISURETIME/KN/MSC,ST 40FT,40FT,MSCU
1317,LIFETIME PROD HANJIN,0T 40FT,40FT,HJCU
1318,LIFETIME PROD HANJIN,CH 20FT,20FT,HJCU
1319,LIFETIME PROD HANJIN,CH 40FT,40FT,HJCU
1320,LIFETIME PROD HANJIN,CH 45FT,45FT,HJCU
1321,LIFETIME PROD HANJIN,FR 20FT,20FT,HJCU
1322,LIFETIME PROD HANJIN,FR 40FT,40FT,HJCU
1323,LIFETIME PROD HANJIN,FR 45FT,45FT,HJCU
1324,LIFETIME PROD HANJIN,HC 40FT,40FT,HJCU
1325,LIFETIME PROD HANJIN,HC 45FT,45FT,HJCU
1326,LIFETIME PROD HANJIN,OT 20FT,20FT,HJCU
1327,LIFETIME PROD HANJIN,OT 45FT,45FT,HJCU
1328,LIFETIME PROD HANJIN,RF 20FT,20FT,HJCU
1329,LIFETIME PROD HANJIN,RF 40FT,40FT,HJCU
1330,LIFETIME PROD HANJIN,RF 45FT,45FT,HJCU
1331,LIFETIME PROD HANJIN,ST 20FT,20FT,HJCU
1332,LIFETIME PROD HANJIN,ST 40FT,40FT,HJCU
177,LINDSAY/MAESK,ALL,ALL,MAEU
1644,LMC/KLINE,ALL,ALL,KKLU
1726,LMC/KN/APL,ALL,ALL,APLU
1988,LMC/KN/APL,HC 40FT,40FT,APLU
1989,LMC/KN/APL,HC 45FT,45FT,APLU
2281,LMC/KN/APL,RF 40FT,40FT,APLU
2286,LMC/KN/APL,RF 40FT,40FT,APLU
1990,LMC/KN/APL,ST 20FT,20FT,APLU
1991,LMC/KN/APL,ST 40FT,40FT,APLU
1638,LMC/KN/CMA,ALL,ALL,CMDU
1992,LMC/KN/CMA,HC 40FT,40FT,CMDU
1993,LMC/KN/CMA,HC 45FT,45FT,CMDU
2287,LMC/KN/CMA,RF 40FT,40FT,CMDU
2282,LMC/KN/CMA,RF 40FT,40FT,CMDU
1994,LMC/KN/CMA,ST 20FT,20FT,CMDU
1995,LMC/KN/CMA,ST 40FT,40FT,CMDU
1650,LMC/KN/COSCO,ALL,ALL,COSU
1996,LMC/KN/COSCO,HC 40FT,40FT,COSU
1997,LMC/KN/COSCO,HC 45FT,45FT,COSU
2283,LMC/KN/COSCO,RF 40FT,40FT,COSU
1998,LMC/KN/COSCO,ST 20FT,20FT,COSU
1999,LMC/KN/COSCO,ST 40FT,40FT,COSU
2288,LMC/KN/HY,RF 40FT,40FT,HDMU
2289,LMC/KN/KLINE,RF 40FT,40FT,KKLU
2290,LMC/KN/MED,RF 40FT,40FT,MSCU
1639,LMC/KN/MSC,ALL,ALL,MSCU
2000,LMC/KN/MSC,HC 40FT,40FT,MSCU
2001,LMC/KN/MSC,HC 45FT,45FT,MSCU
2284,LMC/KN/MSC,RF 40FT,40FT,MSCU
2002,LMC/KN/MSC,ST 20FT,20FT,MSCU
2003,LMC/KN/MSC,ST 40FT,40FT,MSCU
2407,LMC/KN/ONE,HC 40FT,40FT,ONEY
2408,LMC/KN/ONE,HC 45FT,45FT,ONEY
2409,LMC/KN/ONE,RF 40FT,40FT,ONEY
2410,LMC/KN/ONE,ST 20FT,20FT,ONEY
2411,LMC/KN/ONE,ST 40FT,40FT,ONEY
1640,LMC/KN/OOCL,ALL,ALL,OOLL
2004,LMC/KN/OOCL,HC 40FT,40FT,OOLL
2005,LMC/KN/OOCL,HC 45FT,45FT,OOLL
2285,LMC/KN/OOCL,RF 40FT,40FT,OOLL
2006,LMC/KN/OOCL,ST 20FT,20FT,OOLL
2007,LMC/KN/OOCL,ST 40FT,40FT,OOLL
1679,LMC/OEC/APL,ALL,ALL,APLU
2008,LMC/OEC/APL,HC 40FT,40FT,APLU
2009,LMC/OEC/APL,HC 45FT,45FT,APLU
2010,LMC/OEC/APL,ST 20FT,20FT,APLU
2011,LMC/OEC/APL,ST 40FT,40FT,APLU
1656,LMC/OEC/CMA,ALL,ALL,CMDU
2012,LMC/OEC/CMA,HC 40FT,40FT,CMDU
2013,LMC/OEC/CMA,HC 45FT,45FT,CMDU
2014,LMC/OEC/CMA,ST 20FT,20FT,CMDU
2015,LMC/OEC/CMA,ST 40FT,40FT,CMDU
1686,LMC/OEC/HY,ALL,ALL,HDMU
2016,LMC/OEC/HY,HC 40FT,40FT,HDMU
2017,LMC/OEC/HY,HC 45FT,45FT,HDMU
2018,LMC/OEC/HY,ST 20FT,20FT,HDMU
2019,LMC/OEC/HY,ST 40FT,40FT,HDMU
1641,LMC/OEC/KLINE,ALL,ALL,KKLU
2020,LMC/OEC/KLINE,HC 40FT,40FT,KKLU
2021,LMC/OEC/KLINE,HC 45FT,45FT,KKLU
2022,LMC/OEC/KLINE,ST 20FT,20FT,KKLU
2023,LMC/OEC/KLINE,ST 40FT,40FT,KKLU
1678,LMC/OEC/MED,ALL,ALL,MSCU
2024,LMC/OEC/MED,HC 40FT,40FT,MSCU
2025,LMC/OEC/MED,HC 45FT,45FT,MSCU
2026,LMC/OEC/MED,ST 20FT,20FT,MSCU
2027,LMC/OEC/MED,ST 40FT,40FT,MSCU
121,MAERSK,ALL,ALL,MAEU
1345,MAERSK LINE,CH 20FT,20FT,MAEU
1346,MAERSK LINE,CH 40FT,40FT,MAEU
1347,MAERSK LINE,CH 45FT,45FT,MAEU
1348,MAERSK LINE,FR 20FT,20FT,MAEU
1349,MAERSK LINE,FR 40FT,40FT,MAEU
1350,MAERSK LINE,FR 45FT,45FT,MAEU
1351,MAERSK LINE,HC 40FT,40FT,MAEU
1352,MAERSK LINE,HC 45FT,45FT,MAEU
1353,MAERSK LINE,OT 20FT,20FT,MAEU
1354,MAERSK LINE,OT 40FT,40FT,MAEU
1355,MAERSK LINE,OT 45FT,45FT,MAEU
1356,MAERSK LINE,RF 20FT,20FT,MAEU
1357,MAERSK LINE,RF 40FT,40FT,MAEU
1358,MAERSK LINE,RF 45FT,45FT,MAEU
1359,MAERSK LINE,ST 20FT,20FT,MAEU
1360,MAERSK LINE,ST 40FT,40FT,MAEU
1361,MAERSK LINE,TANK 20FT,20FT,MAEU
1362,MAERSK LINE,TANK 40FT,40FT,MAEU
1363,MAERSK LINE,TANK 45FT,45FT,MAEU
176,MAERSK REFERS,ALL,ALL,MAEU
173,MAERSK/K & N,ALL,ALL,MAEU
122,MAERSK/TOP,ALL,ALL,MAEU
86,MATSON,ALL,ALL,MATS
1364,MATSON NAVIGATION,HC 40FT,40FT,MATS
1365,MATSON NAVIGATION,HC 45 FT,45FT,MATS
1366,MATSON NAVIGATION,ST 20FT,20FT,MATS
1367,MATSON NAVIGATION,ST 40FT,40FT,MATS
39,MED SHIPPING,ALL,40,MSCU
17,MED SHIPPING,ALL,20,MSCU
1368,MEDITERRANEAN SHIPPING,CH 20FT,20FT,MSCU
1369,MEDITERRANEAN SHIPPING,CH 40FT,40FT,MSCU
1370,MEDITERRANEAN SHIPPING,HC 40FT,40FT,MSCU
2386,MEDITERRANEAN SHIPPING,HC 45FT,45FT,MSCU
1371,MEDITERRANEAN SHIPPING,OT 20FT,20FT,MSCU
1372,MEDITERRANEAN SHIPPING,OT 40FT,40FT,MSCU
1373,MEDITERRANEAN SHIPPING,RF 20FT,20FT,MSCU
1374,MEDITERRANEAN SHIPPING,RF 40FT,40FT,MSCU
1375,MEDITERRANEAN SHIPPING,ST 20FT,20FT,MSCU
1376,MEDITERRANEAN SHIPPING,ST 40FT,40FT,MSCU
1377,MENARDS FTN HY,HC 40FT,40FT,HDMU
1378,MENARDS FTN HY,HC 45FT,45FT,HDMU
1379,MENARDS FTN HY,ST 20FT,20FT,HDMU
1380,MENARDS FTN HY,ST 40FT,40FT,HDMU
1381,MENARDS FTN K LINE,HC 40FT,40FT,KKLU
1382,MENARDS FTN K LINE,HC 45FT,45FT,KKLU
1383,MENARDS FTN K LINE,ST 20FT,20FT,KKLU
1384,MENARDS FTN K LINE,ST 40FT,40FT,KKLU
1385,MENARDS FTN MATSON,HC 40FT,40FT,MATS
1386,MENARDS FTN MATSON,ST 20FT,20FT,MATS
1387,MENARDS FTN MATSON,ST 40FT,40FT,MATS
1388,MENARDS FTN MATSON ,HC 45FT,45FT,MATS
1389,MENARDS FTN YM,HC 40FT,40FT,YMLU
1390,MENARDS FTN YM,HC 45FT,45FT,YMLU
1391,MENARDS FTN YM,ST 20FT,20FT,YMLU
1392,MENARDS FTN YM,ST 40FT,40FT,YMLU
1393,MENARDS FTN ZIM,HC 40FT,40FT,ZIMU
1394,MENARDS FTN ZIM,HC 45FT,45FT,ZIMU
1395,MENARDS FTN ZIM,ST 20FT,20FT,ZIMU
1396,MENARDS FTN ZIM,ST 40FT,40FT,ZIMU
1397,METAL FAB CMA,HC 40FT,40FT,CMDU
1398,METAL FAB CMA,ST 40FT,40FT,CMDU
33,MITSUI,ALL,ALL,MOLU
1402,MOL AMERICA,CH 20FT,20FT,MOLU
1403,MOL AMERICA,CH 40FT,40FT,MOLU
1404,MOL AMERICA,CH 45FT,45FT,MOLU
1405,MOL AMERICA,FR 20FT,20FT,MOLU
1406,MOL AMERICA,FR 40FT,40FT,MOLU
1407,MOL AMERICA,FR 45FT,45FT,MOLU
1408,MOL AMERICA,HC 40FT,40FT,MOLU
1409,MOL AMERICA,HC 45FT,45FT,MOLU
1410,MOL AMERICA,OT 20FT,20FT,MOLU
1411,MOL AMERICA,OT 40FT,40FT,MOLU
1412,MOL AMERICA,OT 45FT,45FT,MOLU
1413,MOL AMERICA,RF 20FT,20FT,MOLU
1414,MOL AMERICA,RF 40FT,40FT,MOLU
1415,MOL AMERICA,RF 45FT,45FT,MOLU
1416,MOL AMERICA,ST 20FT,20FT,MOLU
1417,MOL AMERICA,ST 40FT,40FT,MOLU
1418,MOL AMERICA,TANK 20FT,20FT,MOLU
1419,MOL AMERICA,TANK 40FT,40FT,MOLU
1420,MOL AMERICA,TANK 45FT,45FT,MOLU
158,NFM/CMA,ALL/CHASSIS SPLIT,ALL,CMDU
2028,NFM/CMA,HC 40FT,40FT,CMDU
2029,NFM/CMA,HC 45FT,45FT,CMDU
2291,NFM/CMA,RF 40FT,40FT,CMDU
2030,NFM/CMA,ST 20FT,20FT,CMDU
2031,NFM/CMA,ST 40FT,40FT,CMDU
162,NFM/HAPAG,ALL,ALL,HLCU
2032,NFM/HAPAG,HC 40FT,40FT,HLCU
2033,NFM/HAPAG,HC 45FT,45FT,HLCU
2292,NFM/HAPAG,RF 40FT,40FT,HLCU
2034,NFM/HAPAG,ST 20FT,20FT,HLCU
2035,NFM/HAPAG,ST 40FT,40FT,HLCU
159,NFM/KLINE,ALL,ALL,KKLU
2036,NFM/KLINE,HC 40FT,40FT,KKLU
2037,NFM/KLINE,HC 45FT,45FT,KKLU
2293,NFM/KLINE,RF 40FT,40FT,KKLU
2038,NFM/KLINE,ST 20FT,20FT,KKLU
2039,NFM/KLINE,ST 40FT,40FT,KKLU
2452,NFM/KN/COSCO,CH 20FT,20FT,COSU
2454,NFM/KN/COSCO,HC 40FT,40FT,COSU
2453,NFM/KN/COSCO,ST 40FT,40FT,COSU
1693,NON IFTA,ALL,ALL,IXPT
1424,NOVA WHS,TRLR 53FT,53FT,
2417,NUTRIQUEST/APL,HC 40FT,40FT,APLU
2418,NUTRIQUEST/APL,HC 45FT,45FT,APLU
2419,NUTRIQUEST/APL,RF 40FT,40FT,APLU
2420,NUTRIQUEST/APL,ST 20FT,20FT,APLU
2421,NUTRIQUEST/APL,ST 40FT,40FT,APLU
2422,NUTRIQUEST/MAERSK,HC 40FT,40FT,MAEU
2423,NUTRIQUEST/MAERSK,HC 45FT,45FT,MAEU
2424,NUTRIQUEST/MAERSK,RF 40FT,40FT,MAEU
2425,NUTRIQUEST/MAERSK,ST 20FT,20FT,MAEU
2426,NUTRIQUEST/MAERSK,ST 40FT,40FT,MAEU
2412,NUTRIQUEST/MSC,HC 40FT,40FT,MSCU
2413,NUTRIQUEST/MSC,HC 45FT,45FT,MSCU
2414,NUTRIQUEST/MSC,RF 40FT,40FT,MSCU
2415,NUTRIQUEST/MSC,ST 20FT,20FT,MSCU
2416,NUTRIQUEST/MSC,ST 40FT,40FT,MSCU
7,NYK,ALL,ALL,NYKU
1425,NYK LINE,CH 20FT,20FT,NYKU
1426,NYK LINE,CH 40FT,40FT,NYKU
1427,NYK LINE,CH 45FT,45FT,NYKU
1428,NYK LINE,FR 20FT,20FT,NYKU
1429,NYK LINE,FR 40FT,40FT,NYKU
1430,NYK LINE,FR 45FT,45FT,NYKU
1431,NYK LINE,HC 40FT,40FT,NYKU
1432,NYK LINE,HC 45FT,45FT,NYKU
1433,NYK LINE,OT 20FT,20FT,NYKU
1434,NYK LINE,OT 40FT,40FT,NYKU
1435,NYK LINE,OT 45FT,45FT,NYKU
1436,NYK LINE,RF 20FT,20FT,NYKU
1437,NYK LINE,RF 40FT,40FT,NYKU
1438,NYK LINE,RF 45FT,45FT,NYKU
1439,NYK LINE,ST 20FT,20FT,NYKU
1440,NYK LINE,ST 40FT,40FT,NYKU
1441,NYK LINE,TANK 20FT,20FT,NYKU
1442,NYK LINE,TANK 40FT,40FT,NYKU
1443,NYK LINE,TANK 45FT,45FT,NYKU
1662,NYK/PANAL/BLOUNT,ALL,ALL,NYKU
1734,OEC/APL,ALL,ALL,APLU
2040,OEC/APL,HC 40FT,40FT,APLU
2041,OEC/APL,HC 45FT,45FT,APLU
2294,OEC/APL,RF 40FT,40FT,APLU
2042,OEC/APL,ST 20FT,20FT,APLU
2043,OEC/APL,ST 40FT,40FT,APLU
2044,OEC/CMA,HC 40FT,40FT,CMDU
2045,OEC/CMA,HC 45FT,45FT,CMDU
2295,OEC/CMA,RF 40FT,40FT,CMDU
2046,OEC/CMA,ST 20FT,20FT,CMDU
2047,OEC/CMA,ST 40FT,40FT,CMDU
1447,OEC/CMA ,ALL,ALL,CMDU
1736,OEC/COSCO,ALL,ALL,COSU
2048,OEC/COSCO,HC 40FT,40FT,COSU
2049,OEC/COSCO,HC 45FT,45FT,COSU
2296,OEC/COSCO,RF 40FT,40FT,COSU
2050,OEC/COSCO,ST 20FT,20FT,COSU
2051,OEC/COSCO,ST 40FT,40FT,COSU
1710,OEC/HAPAG,ALL,ALL,HLCU
2052,OEC/HAPAG,HC 40FT,40FT,HLCU
2053,OEC/HAPAG,HC 45FT,45FT,HLCU
2297,OEC/HAPAG,RF 40FT,40FT,HLCU
2054,OEC/HAPAG,ST 20FT,20FT,HLCU
2055,OEC/HAPAG,ST 40FT,40FT,HLCU
1708,OEC/HYUNDAI,ALL,ALL,HDMU
2056,OEC/HYUNDAI,HC 40FT,40FT,HDMU
2057,OEC/HYUNDAI,HC 45FT,45FT,HDMU
2298,OEC/HYUNDAI,RF 40FT,40FT,HDMU
2058,OEC/HYUNDAI,ST 20FT,20FT,HDMU
2059,OEC/HYUNDAI,ST 40FT,40FT,HDMU
1735,OEC/MSC,ALL,ALL,MSCU
2060,OEC/MSC,HC 40FT,40FT,MSCU
2061,OEC/MSC,HC 45FT,45FT,MSCU
2299,OEC/MSC,RF 40FT,40FT,MSCU
2062,OEC/MSC,ST 20FT,20FT,MSCU
2063,OEC/MSC,ST 40FT,40FT,MSCU
1738,OEC/ONE,ALL,ALL,ONEY
2064,OEC/ONE,HC 40FT,40FT,ONEY
2065,OEC/ONE,HC 45FT,45FT,ONEY
2300,OEC/ONE,RF 40FT,40FT,ONEY
2066,OEC/ONE,ST 20FT,20FT,ONEY
2067,OEC/ONE,ST 40FT,40FT,ONEY
2179,OEC/OOCL,HC 40FT,40FT,OOLL
2180,OEC/OOCL,HC 45FT,45FT,OOLL
2301,OEC/OOCL,RF 40FT,40FT,OOLL
2181,OEC/OOCL,ST 20FT,20FT,OOLL
2182,OEC/OOCL,ST 40FT,40FT,OOLL
2183,OEC/PIL,HC 40FT,40FT,PABV
2184,OEC/PIL,HC 45FT,45FT,PABV
2302,OEC/PIL,RF 40FT,40FT,PABV
2185,OEC/PIL,ST 20FT,20FT,PABV
2186,OEC/PIL,ST 40FT,40FT,PABV
1707,OEC/SM LINE,ALL,ALL,SMLM
2068,OEC/SM LINE,HC 40FT,40FT,SMLM
2069,OEC/SM LINE,HC 45FT,45FT,SMLM
2303,OEC/SM LINE,RF 40FT,40FT,SMLM
2070,OEC/SM LINE,ST 20FT,20FT,SMLM
2071,OEC/SM LINE,ST 40FT,40FT,SMLM
1737,OEC/YANG MING,ALL,ALL,YMLU
2072,OEC/YANG MING,HC 40FT,40FT,YMLU
2073,OEC/YANG MING,HC 45FT,45FT,YMLU
2304,OEC/YANG MING,RF 40FT,40FT,YMLU
2074,OEC/YANG MING,ST 20FT,20FT,YMLU
2075,OEC/YANG MING,ST 40FT,40FT,YMLU
1722,ONE,HC 40FT,40FT,ONEY
1723,ONE,HC 45FT,45FT,ONEY
1724,ONE,RF 40FT,40FT,ONEY
1720,ONE,ST 20FT,20FT,ONEY
1721,ONE,ST 40FT,40FT,ONEY
16,OOCL,ALL,ALL,OOLL
1448,OOCL USA,CH 20FT,20FT,OOLL
1449,OOCL USA,CH 40FT,40FT,OOLL
1450,OOCL USA,CH 45FT,45FT,OOLL
1451,OOCL USA,FR 20FT,20FT,OOLL
1452,OOCL USA,FR 40FT,40FT,OOLL
1453,OOCL USA,FR 45FT,45FT,OOLL
1454,OOCL USA,HC 40FT,40FT,OOLL
1455,OOCL USA,HC 45FT,45FT,OOLL
1456,OOCL USA,OT 20FT,20FT,OOLL
1457,OOCL USA,OT 40FT,40FT,OOLL
1458,OOCL USA,OT 45FT,45FT,OOLL
1459,OOCL USA,RF 20FT,20FT,OOLL
1460,OOCL USA,RF 40FT,40FT,OOLL
1461,OOCL USA,RF 45FT,45FT,OOLL
1462,OOCL USA,ST 20FT,20FT,OOLL
1463,OOCL USA,ST 40FT,40FT,OOLL
1464,OOCL USA,TANK 20FT,20FT,OOLL
1465,OOCL USA,TANK 40FT,40FT,OOLL
1466,OOCL USA,TANK 45FT,45FT,OOLL
56,PACER,ALL,ALL,PACE
1467,PACER STACKTRAIN,HC 40FT,40FT,PACE
1468,PACER STACKTRAIN,HC 45FT,45FT,PACE
1469,PACER STACKTRAIN,HC 48FT,48FT,PACE
1470,PACER STACKTRAIN,HC 53FT,53FT,PACE
1471,PACER STACKTRAIN,ST 20FT,20FT,PACE
1472,PACER STACKTRAIN,ST 40FT,40FT,PACE
155,PACER-53',ALL,53',PACU
146,PACIFIC INTERNATIONAL LINES,ALL,ALL,PCIU
169,PAL,ALL,ALL,PCIU
2443,PANALPINA/HAPAG,HC 40FT,40FT,HLCU
2444,PANALPINA/HAPAG,ST 20FT,20FT,HLCU
2442,PANALPINA/HAPAG,ST 40FT,40FT,HLCU
2447,PANALPINA/MSC,HC 40FT,40FT,MEDU
2446,PANALPINA/MSC,ST 20FT,20FT,MEDU
2445,PANALPINA/MSC,ST 40FT,40FT,MEDU
185,PIL,ALL,ALL,PCIU
1473,PIL,HC 40FT,40FT,PCIU
1474,PIL,HC 45FT,45FT,PCIU
2336,PIL,HC 45FT,45FT,PCIU
2332,PIL,OT 20FT,20FT,PCIU
2333,PIL,OT 40FT,40FT,PCIU
2334,PIL,RF 20FT,20FT,PCIU
2335,PIL,RF 40FT,40FT,PCIU
1475,PIL,ST 20FT,20FT,PCIU
1476,PIL,ST 40FT,40FT,PCIU
19,POLI/CMA DOOR,ALL/CHASSIS SPLIT,ALL,CMDU
20,POLI/CMA DSV,ALL/CHASSIS SPLIT,ALL,CMDU
61,POLI/HAPAG,ALL,ALL,HLCU
21,POLI/HYUNDAI,ALL,ALL,HDMU
40,POLITRON-MED SHIP,ALL,ALL,MSCU
98,PURE FISH/APL,ALL,ALL,APLU
99,PURE FISH/CMA,ALL/CHASSIS SPLIT,ALL,CMDU
78,PURE FISH/KLINE,ALL,ALL,KKLU
77,PURE FISH/MSC,ALL,ALL,MSCU
60,RAILBOX,ALL,ALL,RLBX
144,REGAL/ANL,ALL,ALL,ANLU
135,REGAL/APL,ALL,ALL,APLU
145,REGAL/HANJIN,ALL,ALL,HJCU
136,REGAL/MED,ALL,ALL,MSCU
138,REGAL/NYK,ALL,ALL,NYKU
107,RS/ALLIANCE/ALL,ALL/CHASSIS SPLIT,ALL,CMDU
1684,RS/KN/ALL,ALL,ALL,
141,SAFMARINE,ALL,ALL,SAFM
1482,SAFMARINE LINE,FR 20FT,20FT,SAFM
1483,SAFMARINE LINE,FR 40FT,40FT,SAFM
1484,SAFMARINE LINE,FR 45FT,45FT,SAFM
1485,SAFMARINE LINE,HC 40FT,40FT,SAFM
1486,SAFMARINE LINE,HC 45FT,45FT,SAFM
1487,SAFMARINE LINE,OT 20FT,20FT,SAFM
1488,SAFMARINE LINE,OT 40FT,40FT,SAFM
1489,SAFMARINE LINE,OT 45FT,45FT,SAFM
1490,SAFMARINE LINE,RF 20FT,20FT,SAFM
1491,SAFMARINE LINE,RF 40FT,40FT,SAFM
1492,SAFMARINE LINE,RF 45FT,45FT,SAFM
1493,SAFMARINE LINE,ST 20FT,20FT,SAFM
1494,SAFMARINE LINE,ST 40FT,40FT,SAFM
1495,SAFMARINE LINE,TANK 20FT,20FT,SAFM
1496,SAFMARINE LINE,TANK 40FT,40FT,SAFM
1497,SAFMARINE LINE,TANK 45FT,45FT,SAFM
66,SCHENKER/CMA,ALL,ALL,CMDU
65,SCHENKER/HAPAG,ALL,ALL,HLCU
97,SCHENKER/HYUNDAI,ALL,ALL,HDMU
101,SCHENKER/OOCL,ALL,ALL,OOLL
92,SCHENK-NFM-HL,ALL,ALL,HLCU
91,SCHENK-NFM-MED,ALL,ALL,MSCU
172,SCHOLASTIC/APL,ALL,ALL,APLU
132,SCHOLASTIC/MOL,ALL,ALL,MOLU
150,SELECT/OOCL,ALL,ALL,OOLL
1498,SENATOR LINES,FR 20FT,20FT,SENU
1499,SENATOR LINES,FR 40FT,40FT,SENU
1500,SENATOR LINES,FR 45FT,45FT,SENU
1501,SENATOR LINES,HC 40FT,40FT,SENU
1502,SENATOR LINES,HC 45FT,45FT,SENU
1503,SENATOR LINES,OT 20FT,20FT,SENU
1504,SENATOR LINES,OT 40FT,40FT,SENU
1505,SENATOR LINES,OT 45FT,45FT,SENU
1506,SENATOR LINES,RF 20FT,20FT,SENU
1507,SENATOR LINES,RF 40FT,40FT,SENU
1508,SENATOR LINES,RF 45FT,45FT,SENU
1509,SENATOR LINES,ST 20FT,20FT,SENU
1510,SENATOR LINES,ST 40FT,40FT,SENU
1511,SENATOR LINES,TANK 20FT,20FT,SENU
1512,SENATOR LINES,TANK 40FT,40FT,SENU
1513,SENATOR LINES,TANK 45FT,45FT,SENU
1514,SHIPPING CORP OF INDIA,CH 20FT,20FT,SIIU
1515,SHIPPING CORP OF INDIA,CH 40FT,40FT,SIIU
1516,SHIPPING CORP OF INDIA,FR 20FT,20FT,SIIU
1517,SHIPPING CORP OF INDIA,FR 40FT,40FT,SIIU
1518,SHIPPING CORP OF INDIA,HC 40FT,40FT,SIIU
1519,SHIPPING CORP OF INDIA,OT 20FT,20FT,SIIU
1520,SHIPPING CORP OF INDIA,OT 40FT,40FT,SIIU
1521,SHIPPING CORP OF INDIA,RF 40FT,40FT,SIIU
1522,SHIPPING CORP OF INDIA,ST 20FT,20FT,SIIU
1523,SHIPPING CORP OF INDIA,ST 40FT,40FT,SIIU
1524,SINO TRANS LINE,CH 20FT,20FT,SNTU
1525,SINO TRANS LINE,CH 40FT,40FT,SNTU
1526,SINO TRANS LINE,CH 45FT,45FT,SNTU
1527,SINO TRANS LINE,FR 20FT,20FT,SNTU
1528,SINO TRANS LINE,FR 40FT,40FT,SNTU
1529,SINO TRANS LINE,HC 40FT,40FT,SNTU
1530,SINO TRANS LINE,HC 45FT,45FT,SNTU
1531,SINO TRANS LINE,OT 20FT,20FT,SNTU
1532,SINO TRANS LINE,OT 40FT,40FT,SNTU
1533,SINO TRANS LINE,RF 20FT,20FT,SNTU
1534,SINO TRANS LINE,RF 40FT,40FT,SNTU
1535,SINO TRANS LINE,ST 40FT,40FT,SNTU
1536,SINO TRANS LINE,TANK 20FT,20FT,SNTU
1537,SINO TRANS LINE,TANK 40FT,40FT,SNTU
1538,SINOTRANS LINE,ST 20FT,20FT,SNTU
1712,SM LINES,ALL,ALL,SMLM
2076,SM LINES,HC 40FT,40FT,SMLM
2077,SM LINES,HC 45FT,45FT,SMLM
2078,SM LINES,ST 20FT,20FT,SMLM
2079,SM LINES,ST 40FT,40FT,SMLM
1725,SWIFT/HAPAG,ALL,ALL,HLCU
2080,SWIFT/HAPAG,HC 40FT,40FT,HLCU
2081,SWIFT/HAPAG,HC 45FT,45FT,HLCU
