id,abbyy_variant_id,abbyy_variant_name,shipment_type,zero
178,178,CompassLogistics-export,Export,2
179,179,Coppersmith-import,Import,2
180,180,Cpishoes-import,Import,2
181,181,CraneWW-export,Export,3
182,182,CraneWW-import,Import,2
183,183,CrestContainers-import,Import,2
184,184,CtsGlobalSolutions-import,Import,2
185,185,CvInternational-import,Import,2
186,186,Dachser-export,Export,2
187,187,Dachser-import,Import,3
188,188,Dbaco-import,Import,2
189,189,DBSchenker-export,Export,3
190,190,DBSchenker-import,Import,3
191,191,DGX-export,Export,2
192,192,DGXGlobal-export,Export,2
193,193,DGXGlobal-import,Import,2
194,194,DHL-export,Export,2
195,195,DHL-import,Import,2
196,196,DHL1-import,Import,2
197,197,DSV-export,Export,2
198,198,DSV2-export,Export,2
199,199,DSV3-import,Import,3
200,200,DynastyOrd-export,Export,2
201,201,Eaafinc-import,Import,3
202,202,EafUsa-import,Import,2
203,203,EasternWorldwide-import,Import,2
204,204,EcuWorldwide-export,Export,2
205,205,EgeTrans-import,Import,3
206,206,EmbassyFreightUsa-import,Import,2
207,207,EmoTrans-export,Export,2
208,208,EmoTrans-import,Import,2
209,209,EuroCargo-export,Export,2
210,210,ExpressLineGroup-export,Export,2
211,211,Farrow-import,Import,2
212,212,Fedex-import,Import,2
213,213,ForLifeProducts-import,Import,2
214,214,Fracht-export,Export,2
215,215,Fracht-import,Import,2
216,216,FtnFedex-import,Import,3
217,217,Gac-import,Import,2
218,218,Gefco-export,Export,3
219,219,GeneralNoli-export,Export,2
220,220,Geodis-export,Export,2
221,221,Geodis-import,Import,2
222,222,Geodis1-export,Export,2
223,223,GlobalForwarding-export,Export,2
224,224,GlobalForwarding-import,Import,2
225,225,GlobalImportSolutions-import,Import,2
226,226,GlShip-import,Import,2
227,227,GreenWorldwide-export,Export,2
228,228,GreenWorldwide-import,Import,2
229,229,GwWorld-export,Export,3
230,230,GwWorld-import,Import,2
231,231,Hartodt-export,Export,2
232,232,Hartodt-import,Import,2
233,233,Hellmann-export,Export,2
234,234,Hellmann-import,Import,2
235,235,Henkel-export,Export,2
236,236,HiCargo-export,Export,2
237,237,HitachiVht-import,Import,2
238,238,Hlilog-import,Import,3
239,239,HlsHolding-import,Import,2
240,240,HosungitCo-import,Import,2
241,241,Hotmail-import,Import,3
242,242,IContainers-export,Export,2
243,243,IContainers-import,Import,2
244,244,IfsCargo-export,Export,2
245,245,InterFreight-import,Import,2
246,246,IntlFreight-import,Import,2
247,247,IsaiahIndustries-export,Export,2
248,248,Itape-export,Export,2
249,249,ItgBoston-import,Import,2
250,250,JaguarFreight-export,Export,2
251,251,JaguarFreight-import,Import,2
252,252,JanelGroup-export,Export,3
253,253,JanelGroup-import,Import,2
